year,forecast,scenario,indicator
2025,54.77160354860834,pessimistic,ACC_OWNERSHIP
2026,57.9351889582568,pessimistic,ACC_OWNERSHIP
2027,60.7650954127467,pessimistic,ACC_OWNERSHIP
2025,57.975341286547824,base,ACC_OWNERSHIP
2026,61.63551353302295,base,ACC_OWNERSHIP
2027,64.58065944701544,base,ACC_OWNERSHIP
2025,62.38048067621462,optimistic,ACC_OWNERSHIP
2026,66.72345982332641,optimistic,ACC_OWNERSHIP
2027,69.82705999413494,optimistic,ACC_OWNERSHIP
2025,41.43217480504463,pessimistic,USG_DIGITAL_PAY
2026,44.15176975497825,pessimistic,USG_DIGITAL_PAY
2027,46.86193482094907,pessimistic,USG_DIGITAL_PAY
2025,42.926366199883624,base,USG_DIGITAL_PAY
2026,45.65080648542737,base,USG_DIGITAL_PAY
2027,48.36177550816712,base,USG_DIGITAL_PAY
2025,44.42055759472262,optimistic,USG_DIGITAL_PAY
2026,47.14984321587649,optimistic,USG_DIGITAL_PAY
2027,49.861616195385174,optimistic,USG_DIGITAL_PAY
